prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20580193400382996,[4284]
I think that,-4.0,formal_low_emotion,may,754,-2.803712844848633,[4284]
I think that,-4.0,formal_low_emotion,however,2480,-3.915538787841797,[4284]
I think that,-4.0,formal_low_emotion,therefore,4320,-4.2666707038879395,[4284]
I think that,-4.0,formal_low_emotion,consequently,23995,-5.017667770385742,[4284]
I think that,-4.0,formal_low_emotion,moreover,541,-2.841914653778076,[4284]
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.259653091430664,[4284]
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0227222442626953,[4284]
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.630039215087891,[4284]
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464812278747559,[4284]
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.4543609619140625,[4284]
I think that,-4.0,formal_high_emotion,appalling,573,-4.783777236938477,[4284]
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.59145450592041,[4284]
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.379144668579102,[4284]
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234734058380127,[4284]
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.358204364776611,[4284]
I think that,-4.0,casual_low_emotion,yeah,12191,-5.2218499183654785,[4284]
I think that,-4.0,casual_low_emotion,okay,10989,-4.0888671875,[4284]
I think that,-4.0,casual_low_emotion,kinda,21775,-3.786550998687744,[4284]
I think that,-4.0,casual_low_emotion,basically,8087,-4.468164443969727,[4284]
I think that,-4.0,casual_low_emotion,anyway,8668,-1.9663963317871094,[4284]
I think that,-4.0,casual_low_emotion,whatever,5193,-1.5782153606414795,[4284]
I think that,-4.0,casual_low_emotion,guess,5310,-7.473897933959961,[4284]
I think that,-4.0,casual_low_emotion,stuff,4269,-4.813106536865234,[4284]
I think that,-4.0,casual_high_emotion,OMG,21978,-4.0251641273498535,[4284]
I think that,-4.0,casual_high_emotion,totally,7110,-5.099514961242676,[4284]
I think that,-4.0,casual_high_emotion,literally,8642,-3.7345361709594727,[4284]
I think that,-4.0,casual_high_emotion,seriously,7580,-5.117832183837891,[4284]
I think that,-4.0,casual_high_emotion,honestly,14483,-2.793126344680786,[4284]
I think that,-4.0,casual_high_emotion,really,1196,-1.3376870155334473,[4284]
I think that,-4.0,casual_high_emotion,absolutely,6270,-4.67057466506958,[4284]
I think that,-4.0,casual_high_emotion,incredibly,9301,-5.1052327156066895,[4284]
I think that,0.0,formal_low_emotion,perhaps,4153,0.20581376552581787,[4284]
I think that,0.0,formal_low_emotion,may,754,-2.803701877593994,[4284]
I think that,0.0,formal_low_emotion,however,2480,-3.915520191192627,[4284]
I think that,0.0,formal_low_emotion,therefore,4320,-4.266674041748047,[4284]
I think that,0.0,formal_low_emotion,consequently,23995,-5.017656326293945,[4284]
I think that,0.0,formal_low_emotion,moreover,541,-2.8419458866119385,[4284]
I think that,0.0,formal_low_emotion,accordingly,17159,-7.259642601013184,[4284]
I think that,0.0,formal_low_emotion,furthermore,2134,-3.0227410793304443,[4284]
I think that,0.0,formal_high_emotion,profoundly,29160,-7.63007926940918,[4284]
I think that,0.0,formal_high_emotion,devastated,27668,-8.464813232421875,[4284]
I think that,0.0,formal_high_emotion,magnificent,16773,-6.454351902008057,[4284]
I think that,0.0,formal_high_emotion,appalling,573,-4.783788681030273,[4284]
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.591480731964111,[4284]
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.379197120666504,[4284]
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.234720230102539,[4284]
I think that,0.0,formal_high_emotion,triumphant,15511,-4.358190536499023,[4284]
I think that,0.0,casual_low_emotion,yeah,12191,-5.221868515014648,[4284]
I think that,0.0,casual_low_emotion,okay,10989,-4.088879585266113,[4284]
I think that,0.0,casual_low_emotion,kinda,21775,-3.786520481109619,[4284]
I think that,0.0,casual_low_emotion,basically,8087,-4.468184471130371,[4284]
I think that,0.0,casual_low_emotion,anyway,8668,-1.9663984775543213,[4284]
I think that,0.0,casual_low_emotion,whatever,5193,-1.5782392024993896,[4284]
I think that,0.0,casual_low_emotion,guess,5310,-7.4738993644714355,[4284]
I think that,0.0,casual_low_emotion,stuff,4269,-4.813146591186523,[4284]
I think that,0.0,casual_high_emotion,OMG,21978,-4.025168418884277,[4284]
I think that,0.0,casual_high_emotion,totally,7110,-5.0995025634765625,[4284]
I think that,0.0,casual_high_emotion,literally,8642,-3.734541177749634,[4284]
I think that,0.0,casual_high_emotion,seriously,7580,-5.117847442626953,[4284]
