prompt,word_category,word,token_id,baseline_logit,mean_logit,std_logit,min_logit,max_logit,range_logit,max_abs_difference_from_baseline,mean_abs_difference_from_baseline,clamping_effect,num_clamp_conditions,target_features
The best approach would be,formal_high_emotion,catastrophic,24769,-9.788233757019043,-9.788242816925049,0.00012896219403490003,-9.788413047790527,-9.78805160522461,0.00036144256591796875,0.00018215179443359375,0.00010013580322265625,-0.00036144256591796875,4,[4067]
The best approach would be,formal_high_emotion,appalling,573,-4.260974407196045,-4.260986804962158,0.00010758412179127553,-4.2611284255981445,-4.260828018188477,0.00030040740966796875,0.00015401840209960938,8.559226989746094e-05,-0.00030040740966796875,4,[4067]
The best approach would be,casual_low_emotion,yeah,12191,-6.400932312011719,-6.400941729545593,9.363045478343786e-05,-6.401063919067383,-6.4008026123046875,0.0002613067626953125,0.0001316070556640625,7.426738739013672e-05,-0.0002613067626953125,4,[4067]
The best approach would be,casual_low_emotion,kinda,21775,-4.753123760223389,-4.753133177757263,8.912989280840356e-05,-4.7532501220703125,-4.7530012130737305,0.00024890899658203125,0.00012636184692382812,7.069110870361328e-05,-0.00024890899658203125,4,[4067]
The best approach would be,casual_high_emotion,totally,7110,-3.8731884956359863,-3.8731953501701355,7.701794287575788e-05,-3.873298168182373,-3.873082160949707,0.00021600723266601562,0.00010967254638671875,6.002187728881836e-05,-0.00021600723266601562,4,[4067]
The best approach would be,casual_high_emotion,absolutely,6270,-4.405885696411133,-4.405895948410034,7.545900947339555e-05,-4.405996322631836,-4.40578556060791,0.00021076202392578125,0.000110626220703125,6.031990051269531e-05,-0.00021076202392578125,4,[4067]
The best approach would be,casual_low_emotion,okay,10989,-6.896786689758301,-6.896793842315674,7.261871421716912e-05,-6.896889686584473,-6.896686553955078,0.00020313262939453125,0.000102996826171875,5.7220458984375e-05,-0.00020313262939453125,4,[4067]
The best approach would be,formal_high_emotion,profoundly,29160,-12.648859024047852,-12.648852348327637,5.6512747635163146e-05,-12.64893627166748,-12.648778915405273,0.00015735626220703125,8.0108642578125e-05,4.5299530029296875e-05,0.00015735626220703125,4,[4067]
The situation is,formal_high_emotion,extraordinary,10035,-0.28909599781036377,-0.28908801078796387,5.621909336885979e-05,-0.2891702651977539,-0.2890133857727051,0.00015687942504882812,8.26120376586914e-05,4.51207160949707e-05,0.00015687942504882812,4,[4067]
The best approach would be,formal_low_emotion,accordingly,17159,-7.918710708618164,-7.9187164306640625,4.892172633621447e-05,-7.918780326843262,-7.918643951416016,0.00013637542724609375,6.961822509765625e-05,3.910064697265625e-05,-0.00013637542724609375,4,[4067]
I think that,casual_high_emotion,honestly,14483,-2.7931244373321533,-2.79312264919281,4.762840042803223e-05,-2.79319429397583,-2.7930610179901123,0.00013327598571777344,6.985664367675781e-05,3.6716461181640625e-05,0.00013327598571777344,4,[4067]
I think that,formal_high_emotion,appalling,573,-4.783780097961426,-4.783783793449402,4.6467010389878506e-05,-4.783843994140625,-4.783714294433594,0.00012969970703125,6.580352783203125e-05,3.6597251892089844e-05,-0.00012969970703125,4,[4067]
The situation is,formal_low_emotion,perhaps,4153,0.45961910486221313,0.4596225768327713,4.4585775837596066e-05,0.45955586433410645,0.45968031883239746,0.00012445449829101562,6.324052810668945e-05,3.509223461151123e-05,0.00012445449829101562,4,[4067]
I think that,casual_low_emotion,yeah,12191,-5.221887111663818,-5.221885323524475,4.416523188384628e-05,-5.221952438354492,-5.221829414367676,0.00012302398681640625,6.532669067382812e-05,3.445148468017578e-05,0.00012302398681640625,4,[4067]
The best approach would be,casual_high_emotion,OMG,21978,-6.2101545333862305,-6.210160255432129,4.4162175004344195e-05,-6.210216999053955,-6.210094451904297,0.00012254714965820312,6.246566772460938e-05,3.5762786865234375e-05,-0.00012254714965820312,4,[4067]
The best approach would be,formal_low_emotion,consequently,23995,-8.180374145507812,-8.1803719997406,3.865837975484104e-05,-8.18043041229248,-8.180322647094727,0.00010776519775390625,5.626678466796875e-05,3.0279159545898438e-05,0.00010776519775390625,4,[4067]
I think that,casual_low_emotion,okay,10989,-4.088890075683594,-4.088889718055725,3.766919237477272e-05,-4.08894681930542,-4.088841438293457,0.00010538101196289062,5.6743621826171875e-05,2.872943878173828e-05,0.00010538101196289062,4,[4067]
I think that,casual_high_emotion,totally,7110,-5.099513053894043,-5.099510431289673,3.669710392158219e-05,-5.099564552307129,-5.099461555480957,0.000102996826171875,5.14984130859375e-05,2.8371810913085938e-05,0.000102996826171875,4,[4067]
It seems to me that,formal_high_emotion,overwhelming,11734,-7.026392936706543,-7.026397466659546,3.6373487239819426e-05,-7.026444435119629,-7.02634334564209,0.0001010894775390625,5.14984130859375e-05,2.9325485229492188e-05,-0.0001010894775390625,4,[4067]
The best approach would be,casual_high_emotion,seriously,7580,-7.173557281494141,-7.173562407493591,3.5653543514348395e-05,-7.173610210418701,-7.173510551452637,9.965896606445312e-05,5.2928924560546875e-05,2.849102020263672e-05,-9.965896606445312e-05,4,[4067]
I think that,casual_high_emotion,really,1196,-1.3376768827438354,-1.3376731276512146,3.50400797552234e-05,-1.337725281715393,-1.337627649307251,9.763240814208984e-05,4.9233436584472656e-05,2.7954578399658203e-05,9.763240814208984e-05,4,[4067]
