word_category,clamp_value,effect_size,baseline_difference
casual_high_emotion,0.0,0.0,0.0
casual_high_emotion,1.0,0.0,0.0
casual_high_emotion,2.0,0.0,0.0
casual_high_emotion,4.0,0.0,0.0
casual_low_emotion,0.0,0.0,0.0
casual_low_emotion,1.0,0.0,0.0
casual_low_emotion,2.0,0.0,0.0
casual_low_emotion,4.0,0.0,0.0
formal_high_emotion,0.0,0.0,0.0
formal_high_emotion,1.0,0.0,0.0
formal_high_emotion,2.0,0.0,0.0
formal_high_emotion,4.0,0.0,0.0
formal_low_emotion,0.0,0.0,0.0
formal_low_emotion,1.0,0.0,0.0
formal_low_emotion,2.0,0.0,0.0
formal_low_emotion,4.0,0.0,0.0
