prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20583075284957886,[4067]
I think that,-4.0,formal_low_emotion,may,754,-2.8037140369415283,[4067]
I think that,-4.0,formal_low_emotion,however,2480,-3.915553331375122,[4067]
I think that,-4.0,formal_low_emotion,therefore,4320,-4.266722202301025,[4067]
I think that,-4.0,formal_low_emotion,consequently,23995,-5.017658710479736,[4067]
I think that,-4.0,formal_low_emotion,moreover,541,-2.8419458866119385,[4067]
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.2596940994262695,[4067]
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0227532386779785,[4067]
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.630064010620117,[4067]
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464855194091797,[4067]
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.454324722290039,[4067]
I think that,-4.0,formal_high_emotion,appalling,573,-4.783714294433594,[4067]
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.59153413772583,[4067]
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.379217624664307,[4067]
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234720230102539,[4067]
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.358211517333984,[4067]
I think that,-4.0,casual_low_emotion,yeah,12191,-5.221952438354492,[4067]
I think that,-4.0,casual_low_emotion,okay,10989,-4.08894681930542,[4067]
I think that,-4.0,casual_low_emotion,kinda,21775,-3.7865335941314697,[4067]
I think that,-4.0,casual_low_emotion,basically,8087,-4.468191623687744,[4067]
I think that,-4.0,casual_low_emotion,anyway,8668,-1.9664125442504883,[4067]
I think that,-4.0,casual_low_emotion,whatever,5193,-1.5782275199890137,[4067]
I think that,-4.0,casual_low_emotion,guess,5310,-7.473895072937012,[4067]
I think that,-4.0,casual_low_emotion,stuff,4269,-4.813144683837891,[4067]
I think that,-4.0,casual_high_emotion,OMG,21978,-4.025224685668945,[4067]
I think that,-4.0,casual_high_emotion,totally,7110,-5.099564552307129,[4067]
I think that,-4.0,casual_high_emotion,literally,8642,-3.7345407009124756,[4067]
I think that,-4.0,casual_high_emotion,seriously,7580,-5.117842674255371,[4067]
I think that,-4.0,casual_high_emotion,honestly,14483,-2.79319429397583,[4067]
I think that,-4.0,casual_high_emotion,really,1196,-1.337725281715393,[4067]
I think that,-4.0,casual_high_emotion,absolutely,6270,-4.670612812042236,[4067]
I think that,-4.0,casual_high_emotion,incredibly,9301,-5.105260848999023,[4067]
I think that,0.0,formal_low_emotion,perhaps,4153,0.20581698417663574,[4067]
I think that,0.0,formal_low_emotion,may,754,-2.803704261779785,[4067]
I think that,0.0,formal_low_emotion,however,2480,-3.9155259132385254,[4067]
I think that,0.0,formal_low_emotion,therefore,4320,-4.266688346862793,[4067]
I think that,0.0,formal_low_emotion,consequently,23995,-5.017660140991211,[4067]
I think that,0.0,formal_low_emotion,moreover,541,-2.841947555541992,[4067]
I think that,0.0,formal_low_emotion,accordingly,17159,-7.259649276733398,[4067]
I think that,0.0,formal_low_emotion,furthermore,2134,-3.0227465629577637,[4067]
I think that,0.0,formal_high_emotion,profoundly,29160,-7.630084991455078,[4067]
I think that,0.0,formal_high_emotion,devastated,27668,-8.464824676513672,[4067]
I think that,0.0,formal_high_emotion,magnificent,16773,-6.454342365264893,[4067]
I think that,0.0,formal_high_emotion,appalling,573,-4.783780097961426,[4067]
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.591495990753174,[4067]
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.379209995269775,[4067]
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.234720706939697,[4067]
I think that,0.0,formal_high_emotion,triumphant,15511,-4.358188629150391,[4067]
I think that,0.0,casual_low_emotion,yeah,12191,-5.221887111663818,[4067]
I think that,0.0,casual_low_emotion,okay,10989,-4.088890075683594,[4067]
I think that,0.0,casual_low_emotion,kinda,21775,-3.7865145206451416,[4067]
I think that,0.0,casual_low_emotion,basically,8087,-4.468190670013428,[4067]
I think that,0.0,casual_low_emotion,anyway,8668,-1.966399908065796,[4067]
I think that,0.0,casual_low_emotion,whatever,5193,-1.5782389640808105,[4067]
I think that,0.0,casual_low_emotion,guess,5310,-7.473899841308594,[4067]
I think that,0.0,casual_low_emotion,stuff,4269,-4.813149452209473,[4067]
I think that,0.0,casual_high_emotion,OMG,21978,-4.025179862976074,[4067]
I think that,0.0,casual_high_emotion,totally,7110,-5.099513053894043,[4067]
I think that,0.0,casual_high_emotion,literally,8642,-3.7345447540283203,[4067]
I think that,0.0,casual_high_emotion,seriously,7580,-5.117849349975586,[4067]
I think that,0.0,casual_high_emotion,honestly,14483,-2.7931244373321533,[4067]
I think that,0.0,casual_high_emotion,really,1196,-1.3376768827438354,[4067]
I think that,0.0,casual_high_emotion,absolutely,6270,-4.670586109161377,[4067]
I think that,0.0,casual_high_emotion,incredibly,9301,-5.105257987976074,[4067]
I think that,1.0,formal_low_emotion,perhaps,4153,0.2058122158050537,[4067]
I think that,1.0,formal_low_emotion,may,754,-2.8037004470825195,[4067]
I think that,1.0,formal_low_emotion,however,2480,-3.915515661239624,[4067]
I think that,1.0,formal_low_emotion,therefore,4320,-4.266677379608154,[4067]
I think that,1.0,formal_low_emotion,consequently,23995,-5.0176591873168945,[4067]
I think that,1.0,formal_low_emotion,moreover,541,-2.8419508934020996,[4067]
I think that,1.0,formal_low_emotion,accordingly,17159,-7.259634017944336,[4067]
I think that,1.0,formal_low_emotion,furthermore,2134,-3.0227437019348145,[4067]
I think that,1.0,formal_high_emotion,profoundly,29160,-7.630092144012451,[4067]
I think that,1.0,formal_high_emotion,devastated,27668,-8.46481704711914,[4067]
I think that,1.0,formal_high_emotion,magnificent,16773,-6.454354286193848,[4067]
I think that,1.0,formal_high_emotion,appalling,573,-4.783796787261963,[4067]
I think that,1.0,formal_high_emotion,extraordinary,10035,-4.591492176055908,[4067]
I think that,1.0,formal_high_emotion,overwhelming,11734,-5.379208087921143,[4067]
I think that,1.0,formal_high_emotion,catastrophic,24769,-7.234724044799805,[4067]
I think that,1.0,formal_high_emotion,triumphant,15511,-4.358185768127441,[4067]
I think that,1.0,casual_low_emotion,yeah,12191,-5.221872329711914,[4067]
I think that,1.0,casual_low_emotion,okay,10989,-4.08888053894043,[4067]
I think that,1.0,casual_low_emotion,kinda,21775,-3.7865092754364014,[4067]
I think that,1.0,casual_low_emotion,basically,8087,-4.468190670013428,[4067]
I think that,1.0,casual_low_emotion,anyway,8668,-1.9663965702056885,[4067]
I think that,1.0,casual_low_emotion,whatever,5193,-1.578244686126709,[4067]
I think that,1.0,casual_low_emotion,guess,5310,-7.473904132843018,[4067]
I think that,1.0,casual_low_emotion,stuff,4269,-4.813152313232422,[4067]
I think that,1.0,casual_high_emotion,OMG,21978,-4.02517032623291,[4067]
I think that,1.0,casual_high_emotion,totally,7110,-5.0995025634765625,[4067]
I think that,1.0,casual_high_emotion,literally,8642,-3.7345478534698486,[4067]
I think that,1.0,casual_high_emotion,seriously,7580,-5.117851734161377,[4067]
I think that,1.0,casual_high_emotion,honestly,14483,-2.7931108474731445,[4067]
I think that,1.0,casual_high_emotion,really,1196,-1.337662696838379,[4067]
I think that,1.0,casual_high_emotion,absolutely,6270,-4.670577526092529,[4067]
I think that,1.0,casual_high_emotion,incredibly,9301,-5.105256080627441,[4067]
I think that,4.0,formal_low_emotion,perhaps,4153,0.20579838752746582,[4067]
I think that,4.0,formal_low_emotion,may,754,-2.803692102432251,[4067]
I think that,4.0,formal_low_emotion,however,2480,-3.915493965148926,[4067]
I think that,4.0,formal_low_emotion,therefore,4320,-4.266658306121826,[4067]
I think that,4.0,formal_low_emotion,consequently,23995,-5.017658233642578,[4067]
I think that,4.0,formal_low_emotion,moreover,541,-2.8419570922851562,[4067]
I think that,4.0,formal_low_emotion,accordingly,17159,-7.2596049308776855,[4067]
I think that,4.0,formal_low_emotion,furthermore,2134,-3.022745132446289,[4067]
I think that,4.0,formal_high_emotion,profoundly,29160,-7.630109786987305,[4067]
I think that,4.0,formal_high_emotion,devastated,27668,-8.46479606628418,[4067]
I think that,4.0,formal_high_emotion,magnificent,16773,-6.4543681144714355,[4067]
I think that,4.0,formal_high_emotion,appalling,573,-4.783843994140625,[4067]
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.591472148895264,[4067]
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.379206657409668,[4067]
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.234726428985596,[4067]
I think that,4.0,formal_high_emotion,triumphant,15511,-4.358176231384277,[4067]
I think that,4.0,casual_low_emotion,yeah,12191,-5.221829414367676,[4067]
I think that,4.0,casual_low_emotion,okay,10989,-4.088841438293457,[4067]
I think that,4.0,casual_low_emotion,kinda,21775,-3.786494731903076,[4067]
I think that,4.0,casual_low_emotion,basically,8087,-4.468191146850586,[4067]
I think that,4.0,casual_low_emotion,anyway,8668,-1.9663889408111572,[4067]
I think that,4.0,casual_low_emotion,whatever,5193,-1.5782614946365356,[4067]
I think that,4.0,casual_low_emotion,guess,5310,-7.473904609680176,[4067]
I think that,4.0,casual_low_emotion,stuff,4269,-4.81315803527832,[4067]
I think that,4.0,casual_high_emotion,OMG,21978,-4.025145530700684,[4067]
I think that,4.0,casual_high_emotion,totally,7110,-5.099461555480957,[4067]
I think that,4.0,casual_high_emotion,literally,8642,-3.734556198120117,[4067]
I think that,4.0,casual_high_emotion,seriously,7580,-5.117854118347168,[4067]
I think that,4.0,casual_high_emotion,honestly,14483,-2.7930610179901123,[4067]
I think that,4.0,casual_high_emotion,really,1196,-1.337627649307251,[4067]
I think that,4.0,casual_high_emotion,absolutely,6270,-4.670561790466309,[4067]
I think that,4.0,casual_high_emotion,incredibly,9301,-5.105257034301758,[4067]
The situation is,-4.0,formal_low_emotion,perhaps,4153,0.45955586433410645,[4067]
The situation is,-4.0,formal_low_emotion,may,754,0.13978677988052368,[4067]
The situation is,-4.0,formal_low_emotion,however,2480,0.18498879671096802,[4067]
The situation is,-4.0,formal_low_emotion,therefore,4320,-1.0305325984954834,[4067]
The situation is,-4.0,formal_low_emotion,consequently,23995,-3.9954819679260254,[4067]
The situation is,-4.0,formal_low_emotion,moreover,541,2.6562869548797607,[4067]
The situation is,-4.0,formal_low_emotion,accordingly,17159,-5.581990718841553,[4067]
The situation is,-4.0,formal_low_emotion,furthermore,2134,4.211328029632568,[4067]
The situation is,-4.0,formal_high_emotion,profoundly,29160,-4.748542785644531,[4067]
The situation is,-4.0,formal_high_emotion,devastated,27668,-3.7242000102996826,[4067]
The situation is,-4.0,formal_high_emotion,magnificent,16773,-6.091686248779297,[4067]
The situation is,-4.0,formal_high_emotion,appalling,573,-0.3455269932746887,[4067]
The situation is,-4.0,formal_high_emotion,extraordinary,10035,-0.2891702651977539,[4067]
The situation is,-4.0,formal_high_emotion,overwhelming,11734,0.33974242210388184,[4067]
The situation is,-4.0,formal_high_emotion,catastrophic,24769,-1.111108422279358,[4067]
The situation is,-4.0,formal_high_emotion,triumphant,15511,-6.298614025115967,[4067]
The situation is,-4.0,casual_low_emotion,yeah,12191,-5.9497785568237305,[4067]
The situation is,-4.0,casual_low_emotion,okay,10989,-0.13979807496070862,[4067]
The situation is,-4.0,casual_low_emotion,kinda,21775,-1.6276700496673584,[4067]
The situation is,-4.0,casual_low_emotion,basically,8087,-1.2644684314727783,[4067]
The situation is,-4.0,casual_low_emotion,anyway,8668,-2.030026912689209,[4067]
The situation is,-4.0,casual_low_emotion,whatever,5193,-7.154353618621826,[4067]
The situation is,-4.0,casual_low_emotion,guess,5310,-2.448665142059326,[4067]
The situation is,-4.0,casual_low_emotion,stuff,4269,-6.041105270385742,[4067]
The situation is,-4.0,casual_high_emotion,OMG,21978,-1.624941110610962,[4067]
The situation is,-4.0,casual_high_emotion,totally,7110,1.1136009693145752,[4067]
The situation is,-4.0,casual_high_emotion,literally,8642,0.3298126459121704,[4067]
The situation is,-4.0,casual_high_emotion,seriously,7580,0.14961934089660645,[4067]
The situation is,-4.0,casual_high_emotion,honestly,14483,-1.8231836557388306,[4067]
The situation is,-4.0,casual_high_emotion,really,1196,3.9268596172332764,[4067]
The situation is,-4.0,casual_high_emotion,absolutely,6270,0.9093167185783386,[4067]
The situation is,-4.0,casual_high_emotion,incredibly,9301,1.370322823524475,[4067]
The situation is,0.0,formal_low_emotion,perhaps,4153,0.45961910486221313,[4067]
The situation is,0.0,formal_low_emotion,may,754,0.13974523544311523,[4067]
The situation is,0.0,formal_low_emotion,however,2480,0.18501001596450806,[4067]
The situation is,0.0,formal_low_emotion,therefore,4320,-1.030513048171997,[4067]
The situation is,0.0,formal_low_emotion,consequently,23995,-3.995452880859375,[4067]
The situation is,0.0,formal_low_emotion,moreover,541,2.656266212463379,[4067]
The situation is,0.0,formal_low_emotion,accordingly,17159,-5.582028388977051,[4067]
The situation is,0.0,formal_low_emotion,furthermore,2134,4.211300849914551,[4067]
The situation is,0.0,formal_high_emotion,profoundly,29160,-4.748517036437988,[4067]
The situation is,0.0,formal_high_emotion,devastated,27668,-3.724216938018799,[4067]
The situation is,0.0,formal_high_emotion,magnificent,16773,-6.091683864593506,[4067]
The situation is,0.0,formal_high_emotion,appalling,573,-0.3455478549003601,[4067]
