prompt,clamp_value,word_category,word,token_id,logit_value,target_features,intervention_type
I think that,0.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,0.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.56761360168457,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.35273551940918,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.212813377380371,"[17512, 32616]",linear_weights
I think that,0.0,formal_high_emotion,triumphant,15511,-4.3313140869140625,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,yeah,12191,-5.187953472137451,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,okay,10989,-4.059655666351318,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,kinda,21775,-3.7764923572540283,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,basically,8087,-4.426982402801514,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,anyway,8668,-1.931951642036438,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,whatever,5193,-1.5552395582199097,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,guess,5310,-7.4511542320251465,"[17512, 32616]",linear_weights
I think that,0.0,casual_low_emotion,stuff,4269,-4.787719249725342,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,OMG,21978,-3.993553638458252,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,totally,7110,-5.065082550048828,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,literally,8642,-3.7005529403686523,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,seriously,7580,-5.0746660232543945,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,honestly,14483,-2.764317750930786,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,really,1196,-1.3245974779129028,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,absolutely,6270,-4.643393039703369,"[17512, 32616]",linear_weights
I think that,0.0,casual_high_emotion,incredibly,9301,-5.073712348937988,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,perhaps,4153,0.2282208502292633,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,may,754,-2.794450521469116,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,however,2480,-3.884767532348633,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,therefore,4320,-4.22113037109375,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,consequently,23995,-4.975729465484619,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,moreover,541,-2.8233041763305664,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,accordingly,17159,-7.211433410644531,"[17512, 32616]",linear_weights
I think that,1.0,formal_low_emotion,furthermore,2134,-3.010777235031128,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,profoundly,29160,-7.60040807723999,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,devastated,27668,-8.447659492492676,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,magnificent,16773,-6.404609680175781,"[17512, 32616]",linear_weights
I think that,1.0,formal_high_emotion,appalling,573,-4.747313499450684,"[17512, 32616]",linear_weights
