prompt,word_category,word,token_id,baseline_logit,mean_difference,std_difference,min_difference,max_difference,range_difference,max_abs_difference,mean_abs_difference,clamping_effect,num_clamp_conditions,target_features
My opinion on this is,casual_high_emotion,honestly,14483,1.4642746448516846,-0.10772318840026855,0.24934094723222,-0.6059290170669556,0.034427762031555176,0.6403567790985107,0.6059290170669556,0.13464841842651368,0.6403567790985107,5,
It seems to me that,casual_high_emotion,honestly,14483,-4.219243049621582,-0.0926600456237793,0.23529295157554833,-0.5623135566711426,0.046639442443847656,0.6089529991149902,0.5623135566711426,0.13226537704467772,0.6089529991149902,5,
It seems to me that,casual_low_emotion,anyway,8668,-3.6882853507995605,-0.09032750129699707,0.22431574274596866,-0.537933349609375,0.04753470420837402,0.585468053817749,0.537933349609375,0.12484583854675294,0.585468053817749,5,
I think that,casual_low_emotion,guess,5310,-7.473904132843018,-0.09601163864135742,0.21903893632832863,-0.5338435173034668,0.022269248962402344,0.5561127662658691,0.5338435173034668,0.1175257682800293,0.5561127662658691,5,
The situation is,formal_low_emotion,accordingly,17159,-5.582033157348633,-0.0853963851928711,0.21063726165641072,-0.5058708190917969,0.04097557067871094,0.5468463897705078,0.5058708190917969,0.11695194244384766,0.5468463897705078,5,
The situation is,casual_low_emotion,guess,5310,-2.4486775398254395,-0.10063610076904297,0.21277416642038144,-0.5261344909667969,0.010130882263183594,0.5362653732299805,0.5261344909667969,0.10981769561767578,0.5362653732299805,5,
My opinion on this is,casual_high_emotion,totally,7110,3.8451995849609375,-0.08991861343383789,0.203916465671333,-0.49748802185058594,0.023149967193603516,0.5206379890441895,0.49748802185058594,0.10907659530639649,0.5206379890441895,5,
The situation is,formal_low_emotion,therefore,4320,-1.0305018424987793,-0.08775365352630615,0.20303846913651205,-0.4935566186904907,0.02257513999938965,0.5161317586898804,0.4935566186904907,0.10966899394989013,0.5161317586898804,5,
The best approach would be,formal_high_emotion,catastrophic,24769,-9.788272857666016,-0.10382575988769531,0.20857343726588615,-0.5209264755249023,0.0034236907958984375,0.5243501663208008,0.5209264755249023,0.10656471252441406,0.5158767700195312,5,
It seems to me that,formal_low_emotion,therefore,4320,-6.451186656951904,-0.09316892623901367,0.2035885317051537,-0.5002403259277344,0.013908863067626953,0.5141491889953613,0.5002403259277344,0.10692720413208008,0.5141491889953613,5,
It seems to me that,formal_high_emotion,magnificent,16773,-9.347652435302734,-0.07566204071044921,0.19154573084668688,-0.4579734802246094,0.03859424591064453,0.4965677261352539,0.4579734802246094,0.10752735137939454,0.4965677261352539,5,
The situation is,formal_low_emotion,furthermore,2134,4.211295127868652,-0.08165516853332519,0.1914690261224154,-0.4640686511993408,0.03131103515625,0.4953796863555908,0.4640686511993408,0.10397229194641114,0.4953796863555908,5,
My opinion on this is,casual_low_emotion,kinda,21775,2.370185136795044,-0.08068819046020508,0.18921124091038144,-0.4584028720855713,0.03499913215637207,0.49340200424194336,0.4584028720855713,0.10267295837402343,0.49340200424194336,5,
The situation is,casual_high_emotion,absolutely,6270,0.9093612432479858,-0.08265787959098816,0.1872117967729236,-0.4569021165370941,0.01703321933746338,0.4739353358745575,0.4569021165370941,0.10010296702384949,0.4739353358745575,5,
The situation is,formal_low_emotion,consequently,23995,-3.9954416751861572,-0.07457375526428223,0.18122314052997782,-0.4363362789154053,0.03489875793457031,0.4712350368499756,0.4363362789154053,0.09996075630187988,0.4712350368499756,5,
