prompt,word_category,word,token_id,baseline_logit,mean_logit,std_logit,min_logit,max_logit,range_logit,max_abs_difference_from_baseline,mean_abs_difference_from_baseline,clamping_effect,num_clamp_conditions,target_features
The best approach would be,casual_low_emotion,stuff,4269,-6.817452430725098,-6.817360877990723,0.000552457777810225,-6.818148612976074,-6.816600799560547,0.0015478134155273438,0.0008516311645507812,0.00043964385986328125,0.0015478134155273438,4,[1113]
The best approach would be,casual_high_emotion,totally,7110,-3.873399019241333,-3.87331885099411,0.00048139398642337125,-3.8740060329437256,-3.8726577758789062,0.001348257064819336,0.0007412433624267578,0.00038367509841918945,0.001348257064819336,4,[1113]
The best approach would be,formal_low_emotion,furthermore,2134,-3.874995708465576,-3.8750413060188293,0.00045128824983746744,-3.875640869140625,-3.8743772506713867,0.0012636184692382812,0.0006451606750488281,0.0003548264503479004,-0.0012636184692382812,4,[1113]
The best approach would be,formal_low_emotion,may,754,-5.634442329406738,-5.634394288063049,0.00032978165676956703,-5.634871959686279,-5.633949279785156,0.0009226799011230469,0.0004930496215820312,0.00026285648345947266,0.0009226799011230469,4,[1113]
The best approach would be,casual_low_emotion,basically,8087,-1.9836833477020264,-1.9836484491825104,0.0003118182725544008,-1.984106421470642,-1.98323392868042,0.000872492790222168,0.0004494190216064453,0.00024643540382385254,0.000872492790222168,4,[1113]
The best approach would be,casual_low_emotion,kinda,21775,-4.753232479095459,-4.753273963928223,0.0003067073166145326,-4.753770351409912,-4.752935409545898,0.0008349418640136719,0.000537872314453125,0.00022745132446289062,0.0008349418640136719,4,[1113]
The best approach would be,casual_high_emotion,really,1196,-2.460494041442871,-2.4605343341827393,0.0002797477567995762,-2.460916757583618,-2.460132360458374,0.0007843971252441406,0.0004227161407470703,0.00022113323211669922,-0.0007843971252441406,4,[1113]
The best approach would be,casual_low_emotion,guess,5310,-8.07292366027832,-8.072991371154785,0.00024595369706313175,-8.073352813720703,-8.07266616821289,0.0006866455078125,0.0004291534423828125,0.0001964569091796875,-0.0006866455078125,4,[1113]
The best approach would be,casual_low_emotion,okay,10989,-6.896901607513428,-6.8968517780303955,0.00022832347892412811,-6.8971662521362305,-6.89652681350708,0.0006394386291503906,0.00037479400634765625,0.00018215179443359375,0.0006394386291503906,4,[1113]
The best approach would be,formal_high_emotion,profoundly,29160,-12.648757934570312,-12.648808479309082,0.00020081922049112804,-12.649101257324219,-12.648539543151855,0.0005617141723632812,0.00034332275390625,0.00015974044799804688,-0.0005617141723632812,4,[1113]
The best approach would be,casual_low_emotion,anyway,8668,-3.9832675457000732,-3.9833112359046936,0.00018662041042258497,-3.9835782051086426,-3.98305606842041,0.0005221366882324219,0.00031065940856933594,0.0001494288444519043,-0.0005221366882324219,4,[1113]
