prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,-15.0,formal_low_emotion,perhaps,4153,0.2058122158050537,0.2058122158050537,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,may,754,-2.8037004470825195,-2.8037004470825195,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,however,2480,-3.915515661239624,-3.915515661239624,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,therefore,4320,-4.266677379608154,-4.266677379608154,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,consequently,23995,-5.0176591873168945,-5.0176591873168945,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,moreover,541,-2.8419508934020996,-2.8419508934020996,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,accordingly,17159,-7.259634017944336,-7.259634017944336,0.0,pipeline,formal,low
I think that,-15.0,formal_low_emotion,furthermore,2134,-3.0227437019348145,-3.0227437019348145,0.0,pipeline,formal,low
I think that,-15.0,formal_high_emotion,profoundly,29160,-7.630092144012451,-7.630092144012451,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,devastated,27668,-8.46481704711914,-8.46481704711914,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,magnificent,16773,-6.454354286193848,-6.454354286193848,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,appalling,573,-4.783796787261963,-4.783796787261963,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,extraordinary,10035,-4.591492176055908,-4.591492176055908,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,overwhelming,11734,-5.379208087921143,-5.379208087921143,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,catastrophic,24769,-7.234724044799805,-7.234724044799805,0.0,pipeline,formal,high
I think that,-15.0,formal_high_emotion,triumphant,15511,-4.358185768127441,-4.358185768127441,0.0,pipeline,formal,high
I think that,-15.0,casual_low_emotion,yeah,12191,-5.221872329711914,-5.221872329711914,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,okay,10989,-4.08888053894043,-4.08888053894043,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,kinda,21775,-3.7865092754364014,-3.7865092754364014,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,basically,8087,-4.468190670013428,-4.468190670013428,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,anyway,8668,-1.9663965702056885,-1.9663965702056885,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,whatever,5193,-1.578244686126709,-1.578244686126709,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,guess,5310,-7.473904132843018,-7.473904132843018,0.0,pipeline,casual,low
I think that,-15.0,casual_low_emotion,stuff,4269,-4.813152313232422,-4.813152313232422,0.0,pipeline,casual,low
I think that,-15.0,casual_high_emotion,OMG,21978,-4.02517032623291,-4.02517032623291,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,totally,7110,-5.0995025634765625,-5.0995025634765625,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,literally,8642,-3.7345478534698486,-3.7345478534698486,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,seriously,7580,-5.117851734161377,-5.117851734161377,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,honestly,14483,-2.7931108474731445,-2.7931108474731445,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,really,1196,-1.337662696838379,-1.337662696838379,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,absolutely,6270,-4.670577526092529,-4.670577526092529,0.0,pipeline,casual,high
I think that,-15.0,casual_high_emotion,incredibly,9301,-5.105256080627441,-5.105256080627441,0.0,pipeline,casual,high
I think that,4.0,formal_low_emotion,perhaps,4153,0.2058122158050537,0.2058122158050537,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,may,754,-2.8037004470825195,-2.8037004470825195,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,however,2480,-3.915515661239624,-3.915515661239624,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,therefore,4320,-4.266677379608154,-4.266677379608154,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,consequently,23995,-5.0176591873168945,-5.0176591873168945,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,moreover,541,-2.8419508934020996,-2.8419508934020996,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,accordingly,17159,-7.259634017944336,-7.259634017944336,0.0,pipeline,formal,low
I think that,4.0,formal_low_emotion,furthermore,2134,-3.0227437019348145,-3.0227437019348145,0.0,pipeline,formal,low
I think that,4.0,formal_high_emotion,profoundly,29160,-7.630092144012451,-7.630092144012451,0.0,pipeline,formal,high
I think that,4.0,formal_high_emotion,devastated,27668,-8.46481704711914,-8.46481704711914,0.0,pipeline,formal,high
I think that,4.0,formal_high_emotion,magnificent,16773,-6.454354286193848,-6.454354286193848,0.0,pipeline,formal,high
I think that,4.0,formal_high_emotion,appalling,573,-4.783796787261963,-4.783796787261963,0.0,pipeline,formal,high
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.591492176055908,-4.591492176055908,0.0,pipeline,formal,high
